10天33小时 10天31小时 13天35小时 11天30小时 11天31小时 12天38小时 13天32小时 15天37小时 13天34小时 15天42小时 14天49小时 15天51小时 
13天56小时 15天59小时 17天70小时 15天53小时 13天53小时 16天60小时 17天62小时 18天70小时 17天61小时 18天72小时 16天77小时 16天78小时 
24天128小时 23天135小时 21天136小时 19天118小时 24天127小时 21天127小时 20天128小时 23天139小时 24天135小时 24天131小时 18天125小时 19天128小时 
12天41小时 13天40小时 15天44小时 13天34小时 12天35小时 13天38小时 16天39小时 17天46小时 15天37小时 17天47小时 16天50小时 16天55小时 
16天65小时 17天68小时 18天76小时 16天65小时 15天59小时 18天73小时 19天73小时 21天84小时 19天72小时 19天78小时 17天78小时 19天81小时 
26天143小时 24天149小时 23天142小时 21天125小时 25天142小时 22天135小时 22天138小时 25天152小时 26天147小时 26天151小时 26天139小时 25天144小时  
7天21小时 6天15小时 4天6小时 4天8小时 5天8小时 6天15小时 7天10小时 2天2小时 6天10小时 9天18小时 10天31小时 10天31小时 
9天41小时 9天35小时 11天33小时 9天28小时 9天30小时 11天40小时 11天34小时 13天37小时 11天33小时 13天46小时 13天60小时 14天60小时 
13天85小时 17天102小时 18天107小时 16天92小时 14天81小时 18天105小时 18天109小时 20天113小时 17天100小时 18天106小时 16天117小时 16天121小时 
5天5小时 2天3小时 3天3小时 3天5小时 2天2小时 4天5小时 4天7小时 3天4小时 1天1小时 4天4小时 7天7小时 7天9小时 
12天32小时 9天30小时 6天20小时 6天20小时 8天21小时 10天28小时 8天22小时 8天17小时 7天25小时 12天38小时 12天34小时 16天46小时 
19天90小时 17天75小时 16天72小时 14天65小时 16天78小时 15天74小时 16天80小时 17天84小时 20天81小时 19天103小时 19天107小时 19天114小时 
8天21小时 6天14小时 5天8小时 4天9小时 6天10小时 7天17小时 6天11小时 2天2小时 4天9小时 7天16小时 11天31小时 12天33小时 
11天43小时 9天37小时 10天30小时 9天28小时 9天33小时 9天38小时 10天34小时 12天36小时 10天35小时 11天44小时 14天61小时 15天64小时 
16天93小时 18天101小时 19天108小时 16天93小时 14天76小时 18天106小时 17天109小时 18天111小时 18天102小时 17天99小时 16天116小时 18天122小时 

